Author		Title	Additional Authors	Current Location	Has Daniel read?	Has Rebca read?
First	Last		(last, first, last, first, ...)			
Cornelia	Funke	Dragon Rider		Basement, cubby 2	1	0
Jayne Ann	Krentz	Lost and Found		Basement, cubby 2	0	0
Jane	Heller	Name Dropping		Basement, cubby 2	0	0
Shirlee	Busbee	A Heart for the Taking		Basement, cubby 2	0	0
Ha	Jin	A Map of Betrayal		Basement, cubby 2	0	0
Eugene	Bardach	A Practical Guide for Policy Analysis		Basement, cubby 2	0	0
Donella H.	Meadows	Thinking in Systems		Basement, cubby 2	0	0
Barbara	Bush	Reflections		Basement, cubby 2	0	0
Nora	Roberts	Sanctuary		Basement, cubby 2	0	0
E.J.	Kahn, Jr.	The Problem Solvers		Basement, cubby 2	0	0
Laura	Moriarty	The Rest of Her Life		Basement, cubby 2	0	0
Craig	Ferguson	Between the Bridge and the River		Basement, cubby 2	0	0
Wendy	Fairey	One of the Family		Basement, cubby 2	0	0
Anita	Shreve	Light On Snow		Basement, cubby 2	0	0
John	Case	The Genesis Code		Basement, cubby 2	0	0
Harlan	Coben	Tell No One		Basement, cubby 2	0	0
Lisa	Gardner	Alone		Basement, cubby 2	0	0
Anita	Shreve	Fortune's Rocks		Basement, cubby 2	0	0
Johanna	Edwards	How to Be Cool		Basement, cubby 2	0	0
Elizabeth	Dewberry	His Lovely Wife		Basement, cubby 2	0	0
Alice	Hoffman	The Museum of Extraordinary Things		Basement, cubby 2	0.5	0
J.M.	Coetzee	Disgrace		Basement, cubby 2	0.5	0
Jane	Green	Straight Talking		Basement, cubby 2	0	0
Kate	DiCamillo	The Tiger Rising		Basement, cubby 2	0	0
John	Lutz	In for the Kill		Basement, cubby 2	0	0
Shel	Silverstein	Falling Up		Basement, cubby 2	1	0
Sandra	Brown	Smoke Screen		Basement, cubby 2	0	0
Syd	Birrell	Ya Can't Let Cancer Ruin Your Day		Basement, cubby 2	0	0
Isabel	Allende	Kingdom of the Golden Dragon		Basement, cubby 2	0	0
Charlotte	Bronte	Jane Eyre		Basement, cubby 2	1	0
Lee	Child	Worth Dying For		Basement, cubby 2	0	0
J.A.	Jance	Justice Denied		Basement, cubby 3	0	0
Nicholas	Sparks	Three Weeks with My Brother	Sparks, Micah	Basement, cubby 3	0	0
Tami	Hoag	Ashes to Ashes		Basement, cubby 3	0	0
Elizabeth	Gilbert	Eat Pray Love		Basement, cubby 3	0	0.5
Spencer	Johnson	Who Moved My Cheese?		Basement, cubby 3	0	0
Sandra	Brown	Chill Factor		Basement, cubby 3	0	0
Norman	Mailer	Barbary Shore		Basement, cubby 3	0	0
Jung	Chang	Mao	Halliday, John	Basement, cubby 3	0	0
Jennifer	Weiner	Good in Bed		Basement, cubby 3	0	0
Rhonda	Byrne	The Secret		Basement, cubby 3	0	0
Lisa	Gardner	Gone		Basement, cubby 3	0	0
Tami	Hoag	Cry Wolf		Basement, cubby 3	0	0
John	Grisham	The King of Torts		Basement, cubby 3	0	0
Lucy	Kellaway	Who Moved My Blackberry?		Basement, cubby 3	0	0
Naomi	Ragen	Jephte's Daughter		Basement, cubby 3	0	0
Betty	Rollin	Last Wish		Basement, cubby 3	0	0
Sylvia	Plath	The Bell Jar		Basement, cubby 3	0.5	1
Dan	Ariely	Predictably Irrational		Basement, cubby 3	0	0
Bill	Bryson	The Road to Little Dribbling		Basement, cubby 3	0	0
Jonathan Safran	Foer	Here I Am		Basement, cubby 3	0	0
